sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	3989498	3990693						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00634	CP024842	IS1400	IS3	1207	1	1193	4156745	4157937						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4189862	4191413						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4192293	4194660						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4562202	4563753						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4564727	4567094						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01207	KP017243	ISSbo1	IS91	1713	1	1353	4938096	4939448						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01207	KP017243	ISSbo1	IS91	1713	1	1353	4939784	4941136						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	4950741	4952185						
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00954	MF344567	IS903	IS5	1057	1	1057	1	1057	1057	plus	100.0	99.432	0.0	1919
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00593	LT898485	ISEcl1	IS3	1336	1	1336	9310	10645	1336	minus	100.0	98.428	0.0	2351
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00918	LT898486	ISKpn26	IS5	1197	1	1196	60767	61962	1196	plus	99.0	98.746	0.0	2126
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	01029	KU997026	IS6100	IS6	5466	473	1476	77431	78434	1004	plus	18.0	100.0	0.0	1855
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	01029	KU997026	IS6100	IS6	5466	2123	3719	81507	83103	1597	plus	29.0	100.0	0.0	2950
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	01029	KU997026	IS6100	IS6	5466	4123	5466	84859	86202	1344	plus	25.0	99.777	0.0	2466
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00021	HQ840942	IS1D	IS1	3030	1	2264	91577	93840	2264	minus	75.0	100.0	0.0	4181
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	01163	NC_002695	ISSgsp1	IS66	3044	358	2799	98328	100765	2445	plus	80.0	89.162	0.0	3038
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00954	MF344567	IS903	IS5	1057	1	1057	129680	130737	1058	plus	100.0	99.338	0.0	1914
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	00832	KY270853	ISKpn28	IS481	1105	1	1096	187912	189007	1096	plus	99.0	99.909	0.0	2019
assembly	plasmid	AA274	AI068	contig_7	42424	0.5534367339241939	73d04a399b6dd8f3b2c2eba084cc06b1	00955	MF344566	ISPan1	IS5	1057	1	1057	4406	5462	1057	minus	100.0	96.121	0.0	1725
assembly	plasmid	AA274	AI068	contig_7	42424	0.5534367339241939	73d04a399b6dd8f3b2c2eba084cc06b1	01207	KP017243	ISSbo1	IS91	1713	1	1353	17034	18386	1353	plus	79.0	94.457	0.0	2084
assembly	plasmid	AA274	AI068	contig_7	42424	0.5534367339241939	73d04a399b6dd8f3b2c2eba084cc06b1	01207	KP017243	ISSbo1	IS91	1713	1	1353	24059	25411	1353	minus	79.0	94.457	0.0	2084
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	00955	MF344566	ISPan1	IS5	1057	1	1057	4406	5462	1057	minus	100.0	96.121	0.0	1725
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	01212	EU704128	IS1294	IS91	8758	2751	4442	17030	18721	1692	plus	19.0	99.941	0.0	3120
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	00028	JX424614	ISEc21	IS110	1374	1	1374	22248	23621	1374	minus	100.0	99.927	0.0	2532
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	01212	EU704128	IS1294	IS91	8758	4439	8758	31587	35906	4320	minus	49.0	100.0	0.0	7978
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	01212	EU704128	IS1294	IS91	8758	1	2754	35903	38656	2754	minus	31.0	100.0	0.0	5086
assembly	plasmid	AA274	AI068	contig_1	9539	0.5742740329174966	ae1a4dbe3c983379f37646e612a26794	00955	MF344566	ISPan1	IS5	1057	1	1057	4409	5465	1057	minus	100.0	96.121	0.0	1725
assembly	plasmid	AA372	AI348	contig_15	79490	0.4561957478928167	6725decccc8dccb2c148519eb4cef551	01263	MG053108	ISAeme2	ISAs1	6172	3361	4642	2	1283	1283	minus	21.0	96.96	0.0	2152
assembly	plasmid	AA372	AI348	contig_15	79490	0.4561957478928167	6725decccc8dccb2c148519eb4cef551	00299	EU176013	ISKpn7	IS21	10006	1	10006	1282	11287	10006	plus	100.0	99.85	0.0	18395
assembly	plasmid	AA372	AI348	contig_15	79490	0.4561957478928167	6725decccc8dccb2c148519eb4cef551	01207	KP017243	ISSbo1	IS91	1713	1	1353	68677	70029	1353	minus	79.0	94.457	0.0	2084
assembly	plasmid	AA372	AI348	contig_15	79490	0.4561957478928167	6725decccc8dccb2c148519eb4cef551	01263	MG053108	ISAeme2	ISAs1	6172	4660	6172	74914	76424	1513	minus	25.0	99.009	0.0	2710
assembly	plasmid	AB536	AK360	contig_14	44731	0.3467170418725269	46b800f025eb057aab87a381e3ae88e3	01207	KP017243	ISSbo1	IS91	1713	1	1353	21584	22936	1353	minus	79.0	94.457	0.0	2084
