qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_019155_00032|MPF_F	contig_5	959	214836	1	948	157497	160340	948	1	99.895	99.0	99.0	minus	0.0	1853	mate-pair-formation
NC_019165_00034|MPF_F	contig_5	456	214836	1	456	160343	161710	456	1	99.781	100.0	100.0	minus	0.0	842	mate-pair-formation
NC_021654_00016|MPF_F	contig_5	668	214836	1	668	164510	166513	668	1	99.85	100.0	100.0	minus	0.0	1290	mate-pair-formation
NC_019389_00080|MPF_F	contig_5	212	214836	1	212	166513	167148	212	7	96.698	100.0	100.0	minus	2.6299999999999998e-138	424	mate-pair-formation
NC_022609_00081|MPF_F	contig_5	330	214836	1	330	167164	168153	330	14	95.758	100.0	100.0	minus	0.0	666	mate-pair-formation
NC_014312_00128|MPF_F	contig_5	211	214836	1	206	168173	168790	206	3	98.544	98.0	98.0	minus	4.21e-124	384	mate-pair-formation
NC_021502_00131|MPF_T	contig_5	879	214836	1	879	169182	171818	879	33	96.246	100.0	100.0	minus	0.0	1758	mate-pair-formation
NC_021654_00004|MPF_F	contig_5	189	214836	1	189	174455	175021	189	0	100.0	100.0	100.0	minus	2.12e-125	386	mate-pair-formation
NC_023332_00154|MPF_F	contig_5	474	214836	1	474	175636	177057	474	2	99.578	100.0	100.0	minus	0.0	789	mate-pair-formation
NC_014312_00118|MPF_F	contig_5	246	214836	1	246	177060	177797	246	2	99.187	100.0	100.0	minus	3.74e-162	494	mate-pair-formation
NC_014312_00116|MPF_F	contig_5	101	214836	1	101	178373	178675	101	3	97.03	100.0	100.0	minus	3.63e-63	204	mate-pair-formation
NC_021502_00150|MPF_T	contig_7	770	42424	1	770	39867	42164	771	69	90.272	100.0	100.0	minus	0.0	1309	mate-pair-formation
